time: 11.7651 , HR: 60.38 
time: 11.8624 , HR: 60.22 
time: 11.9903 , HR: 60.15 
time: 12.0763 , HR: 61.03 
time: 12.1491 , HR: 61.05 
time: 12.2332 , HR: 60.84 
time: 12.2997 , HR: 61.28 
time: 12.3640 , HR: 75.46 
time: 12.4283 , HR: 75.58 
time: 12.5121 , HR: 68.88 
time: 12.5811 , HR: 69.02 
time: 12.6491 , HR: 68.91 
time: 12.7113 , HR: 69.63 
time: 12.7735 , HR: 69.83 
time: 12.8661 , HR: 69.48 
time: 12.9473 , HR: 69.22 
time: 13.0127 , HR: 69.22 
time: 13.0780 , HR: 69.25 
time: 13.1566 , HR: 69.10 
time: 13.2318 , HR: 69.03 
time: 13.3075 , HR: 68.95 
time: 13.3829 , HR: 68.84 
time: 13.4624 , HR: 68.75 
time: 13.5299 , HR: 68.73 
time: 13.5903 , HR: 68.81 
time: 13.6712 , HR: 68.64 
time: 13.7684 , HR: 170.89 
time: 13.8375 , HR: 76.89 
time: 13.9131 , HR: 153.61 
time: 13.9813 , HR: 153.51 
time: 14.0617 , HR: 170.27 
time: 14.1358 , HR: 68.05 
time: 14.1980 , HR: 68.11 
time: 14.2612 , HR: 68.11 
time: 14.3397 , HR: 68.01 
time: 14.4103 , HR: 50.99 
time: 14.4779 , HR: 50.97 
time: 14.5424 , HR: 51.00 
time: 14.6340 , HR: 50.84 
time: 14.7087 , HR: 51.59 
time: 14.7730 , HR: 51.57 
time: 14.8368 , HR: 51.58 
time: 14.9207 , HR: 51.40 
time: 14.9898 , HR: 51.30 
time: 15.0663 , HR: 51.24 
time: 15.1312 , HR: 51.22 
time: 15.2091 , HR: 51.10 
time: 15.2799 , HR: 51.02 
time: 15.3420 , HR: 51.07 
time: 15.4019 , HR: 51.08 
time: 15.4777 , HR: 50.98 
time: 15.6149 , HR: 50.41 
time: 15.6812 , HR: 50.35 
time: 15.7408 , HR: 50.39 
time: 15.8172 , HR: 50.29 
time: 15.8845 , HR: 50.24 
time: 15.9523 , HR: 50.17 
time: 16.0138 , HR: 50.21 
time: 16.0725 , HR: 50.36 
time: 16.1479 , HR: 50.29 
time: 16.2177 , HR: 50.26 
time: 16.2801 , HR: 50.32 
time: 16.3429 , HR: 50.40 
time: 16.4440 , HR: 50.11 
time: 16.5349 , HR: 58.18 
time: 16.5974 , HR: 58.15 
time: 16.6572 , HR: 58.16 
time: 16.7324 , HR: 58.07 
time: 16.8077 , HR: 57.95 
time: 16.8868 , HR: 57.87 
time: 16.9453 , HR: 57.92 
time: 17.0190 , HR: 57.89 
time: 17.0830 , HR: 57.92 
time: 17.1426 , HR: 57.99 
time: 17.2007 , HR: 58.03 
time: 17.2621 , HR: 58.11 
time: 17.3353 , HR: 58.05 
time: 17.3993 , HR: 58.04 
time: 17.4568 , HR: 58.15 
time: 17.5147 , HR: 58.18 
time: 17.5719 , HR: 58.30 
time: 17.6461 , HR: 58.26 
time: 17.7106 , HR: 58.25 
time: 17.7679 , HR: 50.00 
time: 17.8251 , HR: 50.05 
time: 17.9161 , HR: 58.19 
time: 17.9804 , HR: 58.24 
time: 18.0420 , HR: 58.29 
time: 18.0993 , HR: 58.33 
time: 18.1588 , HR: 50.12 
time: 18.2354 , HR: 50.14 
time: 18.2994 , HR: 50.19 
time: 18.3572 , HR: 50.23 
time: 18.4182 , HR: 50.32 
time: 18.4774 , HR: 50.47 
time: 18.5684 , HR: 50.31 
time: 18.6323 , HR: 50.39 
time: 18.6937 , HR: 50.44 
time: 18.7520 , HR: 50.86 
time: 18.8283 , HR: 50.97 
time: 18.8945 , HR: 51.19 
time: 18.9537 , HR: 51.70 
time: 19.0132 , HR: 51.90 
time: 19.0753 , HR: 51.98 
time: 19.1647 , HR: 51.94 
time: 19.2495 , HR: 51.80 
time: 19.3108 , HR: 51.82 
time: 19.3819 , HR: 51.77 
time: 19.4744 , HR: 51.71 
time: 19.5529 , HR: 51.64 
time: 19.6261 , HR: 51.60 
time: 19.7142 , HR: 51.41 
time: 19.7907 , HR: 51.30 
time: 19.8654 , HR: 51.43 
time: 19.9252 , HR: 51.59 
time: 20.0165 , HR: 51.40 
time: 20.0824 , HR: 51.40 
time: 20.1447 , HR: 51.52 
time: 20.2106 , HR: 51.59 
time: 20.2730 , HR: 51.68 
time: 20.3558 , HR: 51.63 
time: 20.4378 , HR: 51.61 
time: 20.5023 , HR: 51.63 
time: 20.5776 , HR: 51.52 
time: 20.6586 , HR: 51.52 
time: 20.7416 , HR: 51.63 
time: 20.8018 , HR: 51.69 
time: 20.8649 , HR: 51.79 
time: 20.9395 , HR: 51.74 
time: 21.0054 , HR: 51.85 
time: 21.2662 , HR: 50.49 
time: 21.8492 , HR: 54.89 
time: 21.9362 , HR: 54.72 
time: 22.0127 , HR: 54.74 
time: 22.0815 , HR: 54.75 
time: 22.1577 , HR: 54.69 
time: 22.2302 , HR: 54.63 
time: 22.3058 , HR: 54.75 
time: 22.3660 , HR: 54.85 
time: 22.4421 , HR: 54.77 
time: 22.5109 , HR: 54.73 
time: 22.5857 , HR: 54.79 
time: 22.6453 , HR: 54.86 
time: 22.7257 , HR: 54.83 
time: 22.7922 , HR: 54.82 
time: 22.8532 , HR: 54.94 
time: 22.9169 , HR: 55.00 
time: 22.9794 , HR: 54.99 
time: 23.0602 , HR: 54.84 
time: 23.1289 , HR: 54.89 
time: 23.1874 , HR: 55.46 
time: 23.2450 , HR: 55.53 
time: 23.3179 , HR: 55.43 
time: 23.3842 , HR: 55.50 
time: 23.4415 , HR: 55.58 
time: 23.4998 , HR: 55.65 
time: 23.5570 , HR: 55.68 
time: 23.6454 , HR: 55.46 
time: 23.7092 , HR: 55.55 
time: 23.7674 , HR: 55.63 
time: 23.8254 , HR: 55.66 
time: 23.8988 , HR: 55.59 
time: 23.9629 , HR: 55.86 
time: 24.0209 , HR: 56.10 
time: 24.0792 , HR: 56.14 
time: 24.1390 , HR: 56.14 
time: 24.2223 , HR: 56.08 
time: 24.2918 , HR: 56.12 
time: 24.3510 , HR: 56.27 
time: 24.4113 , HR: 56.25 
time: 24.4687 , HR: 56.38 
time: 24.5426 , HR: 56.30 
time: 24.6065 , HR: 56.27 
time: 24.6641 , HR: 64.31 
time: 24.7216 , HR: 64.35 
time: 24.8011 , HR: 64.29 
time: 24.8680 , HR: 64.27 
time: 24.9410 , HR: 64.13 
time: 25.0015 , HR: 64.11 
time: 25.0626 , HR: 64.08 
time: 25.1438 , HR: 64.02 
time: 25.2108 , HR: 64.00 
time: 25.2687 , HR: 63.99 
time: 25.3267 , HR: 63.99 
time: 25.4005 , HR: 64.13 
time: 25.4647 , HR: 64.13 
time: 25.5290 , HR: 64.11 
time: 25.5888 , HR: 64.09 
time: 25.6480 , HR: 64.09 
time: 25.7231 , HR: 64.11 
time: 25.7881 , HR: 64.10 
time: 25.8474 , HR: 64.08 
time: 25.9180 , HR: 64.00 
time: 25.9771 , HR: 64.00 
time: 26.0505 , HR: 64.15 
time: 26.1166 , HR: 64.13 
time: 26.1749 , HR: 64.16 
time: 26.2360 , HR: 64.14 
time: 26.3106 , HR: 64.15 
time: 26.3783 , HR: 64.14 
time: 26.4372 , HR: 64.14 
time: 26.4962 , HR: 72.16 
time: 26.5550 , HR: 72.19 
time: 26.6350 , HR: 72.29 
time: 26.7019 , HR: 72.46 
time: 26.7649 , HR: 72.44 
